vi,nom,explain
bị gãy,被𢭮,
cửa ra,𨷯𤄷,Outlet
dòng tiền,𣳔錢,Cash Flow
em bé,㛪𡮣,
gãy đôi,折對,Fracture
không muốn,空㦖,don't want
không rõ lắm,空𤑟𡗋,not very clear
kênh báo cáo,涇報告,Reporting Channels
kính viễn vọng,鏡遠望,Telescopically
lao động chân tay,勞動蹎𢬣,Manual labour
nghĩa bóng,義𡞗,figuratively
nguyên lương,原糧,Full salary
năm ngoái,𠄼𢫑,
Phạm Thanh Việt,范清越,Pham Thanh Viet
quan hệ,關係,Relations
quán cà phê,館coffee,Coffee shop
quát bảo,括保,Overview
sinh năm,生𢆥,Born in
số điện thoại,數電話,Phone number
thầm nghĩ,忱擬,Silently thinking
thật lòng,實挵,Sincerely
trong thời đại,中時代,In the era
tách khỏi,剒𠺌,detached from
tùy cơ,隨機,It depends
vi phạm quy định,違犯規定,Violations of regulations
việc đầu tiên,役頭先,
xoay người,搓𠊛,Swivel|turned around
đã được,㐌得,have been
đèn lửa,畑焒,Fire Lamp
đấu đá,鬥跢,Fighting
để lại,抵吏,Leave
đổi lấy,𢷮𥙩,in exchange for
