vi,nom,explain
chủ vị,主位,Host
cần phải,𥵚沛,Need to
học trò,學徒,
khung giờ,椌𣇞,Time Frame
không dám nói,空噉吶,I don't dare to say
không phức tạp,空複雜,Uncomplicated
không thể thiếu,空體少,indispensable
ma trận,迷陣,
một ngày,𠬠𣈜,one day
nhìn thẳng vào,𥆾𣦎𠓨,Look straight at
theo kịp,蹺及,Keep up
thỉnh thoảng,請倘,sometimes
treo cao,撩高,Hang high
triển vọng,展望,Outlook
trốn việc,遁役,Avoiding Jobs
tu vi,修爲,cultivation
tìm tới,尋𬧐,
tăng thêm,增添,Increase
xuống xe,𬺗車,Get off the bus
đài sen,臺蓮,lotus stem
đầy tự tin,𣹓自信,
đến nay,𦤾𫢩,to date
đến đâu,𦤾兜,where to go
đến đây,𦤾底,get here
