vi,nom,explain
buồng hơi,椖唏,Steam Chamber
bạch quang,白光,white light
bịt miệng,莂𠰘,gag
cau mày,皐𠋥,frown
cái chết,丐𣩂,Death
cãi nhau,𠳚僥,Quarrel
cửa ải,𨷯隘,Door
dịch vụ,役務,Service
giao tiếp hàng ngày,交接行𣈜,Everyday communication
gặp khó khăn,﨤𠸋𫩒,Having difficulty
hèn mọn,𢤞𨳒,petty
hưởng lợi,享利,Benefit|BENEFICIAL
khai hóa,開化,
kiếm ra,劍𤄷,Find out
kỳ thi,期試,Exam
lo việc,嚧役,Take care of your work
màu xanh,𦭷青,Blue
nhiều quá,𡗉過,
nhóm họp,𡖡合,Meeting Teams
rải rác khắp nơi,𢱛𧅫𬨢坭,Scattered all over the place
sóng to,㳥𫰅,big waves
thay cho,𠊝朱,Instead of
thuộc vùng,屬漨,Belong to the region
thổ huyết,吐血,Blood
trong thời gian này,沖時間尼,during this time
trình độ học vấn cao,程度學問高,High educational level
tìm mẹ,尋媄,Finding Mom
tôi biết,碎別,
từ từ,徐徐,Slowly
vào lúc này,𠓨𣅶尼,at this time
vết nứt,𤵖㘿,Cracks
về mặt,𧗱𩈘,in terms of
xử lý,處理,Handle
ăn không ngồi rồi,咹空𱖗耒,idling
đưa tin,迻信,Reporting
đưa tới,迻𬧐,Bring to
đỉnh đầu,頂頭,Top of the head
đứng nhìn,𨅸認,Stand and watch
