vi,nom,explain
bất chợt,不跌,Suddenly
chim ưng,𪀄應,eagle
cánh tay phải,𦑃𢬣沛,Right arm
giấu kín,𢭳𠻨,concealed
khu vực hoạt động,區域活動,Operating Area
không đi,空呧,don't go
kỳ quặc,奇啒,Odd
kỳ thị,歧視,discrimination
màn đêm,幔𣎀,Night
máy tính lượng tử,𣛠併量子,Quantum Computers
môi răng,腜𪘵,Lip and teeth
nghe tin,𦖑信,Listen to the news
nhiều khả năng,𡗉可能,Wide range of possibilities
quá khen,過𠰙,too complimentary
rừng cây,𡹃𣘃,Forest
sắp đến,𢯛𦤾,Coming soon
trong họa có phúc,沖禍固福,In the evil there is blessing
trước sau,𠓀𢖖,Front and After
Trợ giúp,助𢴇,Help
tuy vậy,雖丕,however
tỉnh mộng,醒夢,Waking up
tự giới thiệu,自介紹,Self-introduction
việc nhà,役茹,Household chores
đã qua,㐌薖,Past
đặt tên là,撻𠸜𱺵,Named as
động phủ,洞府,cave palace
