vi,nom,explain
ba ngôi,𠀧𡾵,Trinity
Buổi tiệc,貝席,party
bánh sinh nhật,餅生日,Birthday cake
bị bắt,被扒,Arrested
chẳng có ai,拯固哀,no one
chứ không,渚空,not
con chạy,崑𧼋,Child Runner
con thú,崑獸,Beast
cũng biết,拱別,also know
Cơ quan Quản lý,機關管理,Regulatory Agency
hơi yếu,唏覅,Slightly weak
hơn cả,欣哿,more than
không hài lòng,空諧𢚸,dissatisfied
kén ăn,挸咹,picky eaters
mang ô,忙𦶀,Bring an umbrella
mắc bệnh,縸病,diseased
một trong hai,𠬠沖𠄩,either
nghỉ dưỡng,儗養,Resorts
nguồn tin,源信,Source
ngóng chờ phép màu,𥍎䟻法𦭷,Waiting for a miracle
nhìn thấy là biết ngay,𥆾𧡊𱺵別𠵨,Seeing is knowing immediately
nằm trong,㑲沖,lies within
quá tệ,過弊,too bad
rất nhanh,窒𨗜,very fast
sẽ phải,仕沛,will have to
thường người,常𠊛,Ordinary people
thẳng vào,𣦎𠓨,straight in
tiếp đó,接妬,then
Tu tâm,修心,Cultivation
vụ cướp,務劫,Robbery
đan lực,丹力,Dan Luc
đi làm,呧𫜵,commute to work
