vi,nom,explain
bóng rổ,𡞗𥶇,
bỏ ra,𠬃𤄷,Spend
chuyên gia công nghệ,專家工藝,Technology Experts
chính xác hơn,正確欣,More accurate
chạy vào,𧼋𠓨,
chỗ ở,𡊲於,accommodation
cũng tùy,拱随,also depends on
cầm kéo,忣捁,hold scissors
cứ coi,據䁛,Just watch
hiếm khi,險崎,seldom
hoang đảo,荒島,Desert Island
hy vọng,希望,hope
lúc nào cũng,𣅶𱜢拱,all the time
phòng ngừa,防禦,Prevention
ra ngoài,囉外,Going out
ra đầu thú,𤄷投首,Surrender
sách mới,冊買,New Books
theo nghĩa,蹺義,in meaning
thiên thư,天書,The book
thủy tinh,水晶,
trên giường,𨑗床,in bed
Tùng Thiện,从善,Tung Thien
tư tưởng trung tâm,思想中心,Central thought
từ sớm,自𣋽,early
xoay tít,搓㘉,whirl
đã sẵn sàng,㐌𠻿𠳹,Ready
đến đón,𦤾迍,to pick up
đồng đội cũ,同隊𫇰,Former teammates
