vi,nom,explain
bị bắt giữ,被扒𡨺,
cái giá,丐價,The price
có gia đình,固家庭,married
hàng triệu,行兆,millions
hận ý,恨意,Hatred
không kém,空歉,no less
không mấy,空氽,not very
kiến thức chuyên môn,見識專門,Specialist knowledge
kỳ quái,奇怪,Bizarre
liên thủ,連手,Alliance
lòng đất,挵𡐙,Underground
lý trí,理智,Rational
lưỡi đao,𦧜刀,blade
lẽ thường,𨤰常,common sense
lớn nhất,𡘯一,Largest
một phen,𠬠番,once
sẽ có,仕固,will have
sự khác biệt,事恪別,Differences
Thời lượng pin,時量pin,Battery life
tiện thể,便体,Convenience
trung tính,中性,Neutral
tới cửa,𬧐𨷯,to the door
tới đây,𬧐底,Go Here
vỗ ngực,𢯞𦙏,chest patting
xuất quan,出關,Departure
đi chuyển,呧轉,Moving
đón cháu,迍𡥙,Pick up grandchildren
đường hàng không,塘航空,Air
