vi,nom,explain
bản chính,本正,
cho tôi,朱碎,
Chén rượu,盞𨢇,Wine cup
chẳng còn,拯𡀳,no longer
càng lúc càng,𪨈𣅶𪨈,more and more
có tên,固𠸜,has a name
có tội,固罪,guilty
công xá,工舍,
giảm tỷ lệ,減比例,Rate reduction
hành sự,行事,Act
học thêm,學添,Learn more
khí vận,氣運,Aerodynamics
không công bằng,空公平,unfair
không ngờ,空㘈,unexpected
không sao,空哰,It's okay
kỳ lạ,奇𨓐,Weird
la hoảng,囉慌,Panic
lâu lắm rồi,𱍿𡗋耒,It's been a long time
lùi lại,𤈞吏,Stepping back
lúc đầu,𣅶頭,at first
lấy nhau,𥙩僥,marry each other
mênh mông,溟蒙,
một lý do,沒理由,
một người,𠬠𠊛,one person
ngay từ đầu,𠵨自頭,from the beginning
người cá,𠊛𩵜,Amphibian Man
ngấn lệ,痕淚,
nhắc đến,掿典,Mention
Năm này,𠄼尼,This year
nổi lên,浽𨑗,rise
phá giá,破價,Dumping
sự hỗ trợ,事互助,
tháng qua,躺過,last month
tháng sau,𣎃𢖖,Next month
trên đất,𨑗𡐙,on land
trò đùa,徒𢴉,
Tô Lâm,蘇林,To Lam
tự làm,自𫜵,DIY
vấn đề chính,問題正,Main Issues
xoa bóp,叉𢯒,
Đại sứ Việt Nam,大使越南,Ambassador of Vietnam
đầu gối,头𨆝,
