vi,nom,explain
bị kẹt,被搩,Stuck
bị tổn thương,被損傷,Hurt
Chưởng môn,掌門,Headmaster
chức trách,職責,Responsibilities
có thể xảy ra,固体侈𫥨,Possible
hai tháng,𠄩𣎃,two months
hạ giọng,下𠰩,Lowering your voice
leo lên,𣱾𬨠,Climb
làm theo,𫜵蹺,To imitate
mất liên lạc,𠅒聯絡,Loss of contact
ngay khi,𠵨崎,as soon as
ngành sản xuất,梗產出,Manufacturing Industry
sống lại,𤯩吏,To relive
sức hút cá nhân,飭唿個人,personal attraction
than ôi,嘆碨,alas
thu mẫu,收母,Sample collection
thần thức,神識,Divine Consciousness
trời lạnh,𡗶冷,It's cold
va chạm,𠇕𪮻,Collision
vẫn chưa,刎𣗓,not yet
đánh giá cao,打價高,appreciate
đã phải,㐌沛,
đại cát,大吉,
đến giờ,𦤾𣇞,Until now
ầm ầm,喑喑,Rumble
