vi,nom,explain
bản dịch,版譯,Translation
bệnh thận mạn,病腎慢,chronic kidney disease
cưỡng đoạt,強奪,extortion
cả hai,哿𠄩,Both
cội nguồn,檜源,Roots
gửi thông báo,㨳通報,Send notifications
hậu nhân,后人,Posterity
Không nhất định,空一定,Not necessarily.
liền kề,連倛,adjacent
lúc đó,𣅶妬,that time
màu tím,𦭷𧹿,Purple
một chút nữa,𠬠𡭧𡛤,a little more
một lần nữa,𠬠吝𡛤,again
mỹ nam,美男,handsome man
nguyên soái,元帥,marshal
nhiều nơi,𡗉坭,Multiple Places
nhuyễn kiếm,軟剣,
sôi lên,𤉚𬨠,Boiling
thử xem,此䀡,Try it out
tiêu tiền,消錢,Spend money
tu luyện,修練,cultivation
từ ngày,自𣈜,from the date
y học cổ truyền,醫學古傳,Traditional Medicine
Áp thấp,押隰,Low pressure
đến vậy,𦤾丕,that much
