vi,nom,explain
biết rõ,別𤑟,know well
chuyện gì vậy,傳之丕,What's going on?
chưa nói đến,𣗓吶𦤾,Not to mention
khám sức khỏe,勘飭劸,Health Examination
không gian vũ trụ,空間宇宙,Aerospace
làm thế nào,𫜵勢𱜢,How to
Lời chào,利嘲,Greeting
mới chợt,㵋眣,suddenly
mới là,買羅,that's
người cao tuổi,𠊛高歲,Seniors
núi tuyết,𡶀雪,snow mountains
thủy mạch,水脈,Hydroves
to gan lớn mật,𫰅肝𡘯密,Enlarged liver and bile
trên thực tế,𨑗實際,in fact
trên đường đi,𨑗塘呧,Along the way
trời mưa,𡗶𩄎,It rains
tăng huyết áp,增血壓,high blood pressure
vĩ bắc,緯北,North latitude
đẩy nhanh,𢩽穎,Accelerate
