vi,nom,explain
bình cảnh,瓶頸,peace of mind
chẳng có gì,拯固之,Nothing
còn nhớ,𡀳𢖵,Remember
có phần,固份,Somewhat
cố sức,故飭,Effort
của thế giới,𧵑世界,Of the world
gầy yếu,𤷍覅,weak thin
hạ lệnh,下令,Order
lên tới,𬨠𬧐,up to
lặp lại,㕸徠,repeat
lời mời,唎邁,the invites
mấy chục năm,𠇍𨔿𠄼,decades
người lãnh đạo,𠊛領導,
nối dài,綏𨱽,Extension
phong thái,風采,style
Quang Tự,光緒,QuangXu
rút lui,捽𨆢,Retreat
rất thấp,窒隰,very short
sang một bên,𨖅𠬠邊,to the side
sơ qua,梳過,At a glance
sự trưởng thành,事長成,Maturity
trên mặt đất,𨑗𩈘𡐙,on the ground
tàu cao tốc,艚高速,high-speed train|bullet train
tây nam,西南,Southwest
vẫn không thể,吻空體,still can't
xanh tốt,青𡄰,Lush green
điều tra vụ,調查務,Investigation of the case
đồng nghiệp,同業,coworker|colleague|someone in the same profession
đủ thứ,𨁥次,all sorts of things
