vi,nom,explain
bước ra,𨀈𤄷,Step Out
gửi lời,寄唎,Send a message
hay hơn,咍欣,better
hẳn là,𠳾𱺵,must be
hỏi dồn,𠳨拵,Ask a lot
Hồ nước ngọt,湖渃𤮾,Freshwater lake
không muốn làm,空㦖𫜵,I don't want to do it
lối nói,𡓃吶,Way of Speech
mưa lớn,𩄎𡘯,Heavy rain
ngòi lửa,𤀖焒,Spark
nhóm nghiên cứu,𡖡研究,Research Team
nhảy vào,𬦮𠓨,Jump In
rung lên,𢫝𬨠,vibrating
thuyền buồm,船帆,sailboat
trí tuệ,智彗,Wisdom
trở mặt,阻𩈘,Turn around
tuyết rơi,雪淶,Snow falling
tăng lương,增粮,Salary increase
tạo cơ hội,造機會,create opportunities
tắt ứng dụng,𤎕應用,Disable the app
từ lúc nào,自𣅶𱜢,since when
từ thời,自時,from the time of
u,幽|𡠄|䫜,"vnedict2.json's own recorded rendering(s) for the single-letter Vietnamese word ""u"""
xem nhẹ,䀡珥,Mild view
