vi,nom,explain
Bài viết,俳曰,Article
bắt được,扒得,caught
bỏ chạy,𠬃𧼋,Running away
chi phí vận hành,支費運行,Operating Costs
chuyên biệt,專別,Specialized
chương trình truyền hình,章程傳形,Television broadcast
chỉ là,只羅,just
cung cấp dịch vụ,供給役務,Service Provision
câu hỏi đơn giản,句𠳨單簡,
có ý nghĩa,固意義,Meaningful
dưới mắt,𨑜眜,under the eyes
dược lực,藥力,Medicinal Strength
Không sai,空差,Right.
không tin,空信,I don't believe it
mà còn,𣻕𡀳,but also
nhắm vào,𥄮𠓨,
những thứ đó,仍次妬,those kind of things
Nữ Nhi Quốc,女兒國,Women's Nation
ong ong,螉螉,
tham số,參數,
tôi có,碎固,
tọa độ,座度,Coordinates
từ khóa,詞鎖,
từ trước đến nay,自𠓀𦤾𫢩,
vẫn cần,吻懃,still needed
xem video,䀡video,Watch Video
áp thuế,壓稅,Tariffs
đã có,㐌固,already
