vi,nom,explain
báo cho,報朱,Report to
bất kỳ,不期,any
danh ngạch,名額,title
dập dờn,𡏽纏,
e,㥋,to fear|be afraid|be shy (vnedict2.json's own recorded rendering)
không có mặt,空固𩈘,Not present
không sợ,空𢜝,Fearless
không thể nói là,空體吶𱺵,It can't be said that
kim loại quý,金類貴,Precious metals
lần nào,吝𱜢,every time
mét khối nước,衊塊渃,Cubic meters of water
mấy chục,𠇍𨔿,dozens of
một mai,殳𣈕,One day
một thời gian,𠬠時間,for a while
ngăn lại,拫吏,Stop
người mù,𠊛霧,Blind
nhìn nhau,𥆾僥,looking at each other
nhảy ra,𬦮𤄷,Jump Out
nắm rõ,捻𤑟,Understand
rạng sáng,羕𤏬,
sự phơi bày,事𤇨排,Exposure
thay tên,𠊝𠸜,Rename
thay đổi lối sống,𠊝𢷮𡓃𤯩,Lifestyle changes
Thời điểm đó,時點妬,At that time
trang viện,莊院,Manor
tìm ra,尋𤄷,find out
về già,𧗱𫅷,in old age
đôi bên,對邊,Double-sided
