vi,nom,explain
bé trai,𡮣𤳆,Boys
Bộ Tài chính,部財正,Ministry of Finance
cho anh,朱英,for you
chữa thương,𧸓傷,healing
Có quan hệ gì,固關係之,What is the relationship
có tin tức,固信息,There is news
cố vấn an ninh,顧問安寧,Security Advisor
dây dưa,絏荼,
hay quá,咍過,Good.
không nên,空𢧚,should not
kể từ,計自,since
kỷ cương,紀綱,Discipline
men theo,䟨蹺,follow along
mạnh bạo,猛暴,violent
rất khó,窒𠸋,very difficult
tha cho,赦朱,dispense
thiếu sáng,少創,Low light
thắt chặt,紩劕,Tightening
thời gian vừa qua,時間𣃣過,Past time
thực tế,實際,realistically
triệu đồng,兆銅,million VND
trong lòng,沖挵,in the heart
tại đây,在低,here
vỗ vai,𢯞𦠘,Tap
đen nhánh,黰蘔,Black Branch
