vi,nom,explain
bị điều tra,被調查,investigating the
chuyên dụng,專用,Dedicated
chán ghét,𢥇恄,Have an aversion
càng tốt,𪨈𩫛,as much as possible
cũng phải,供沛,must also
hướng về,向𧗱,Towards
hở hang,汻𡎟,Scanty
không ai,空埃,None
không hiểu tại sao,空曉在哰,I don't understand why
kẻ khác,仉恪,Someone else
kỳ vọng,期望,expected
lời đề nghị,唎提議,Offer
mấu chốt,𥭏𢱝,The bottom line
ngay cả,𠵨哿,even
người chị,𠊛姉,sister
quá hóa ngông,過化顒,Too extravagant
sơn tinh,山精,
sống chung,𤯩中,Live together
sống lâu,𤯩𱍿,To be long-lived
thương vong,傷亡,harmed
thời lượng,時兩|時量,Duration
tinh túy,精粹,Quintessence
vô liêm sỉ,無廉恥,Shameless
vừa lúc,𣃣𣅶,Just in time
y,伊|衣|依|醫,"vnedict2.json's own recorded rendering(s) for the single-letter Vietnamese word ""y"" (canonicalizes to ""i"")"
đi cấp cứu,𠫾急救,go to the emergency room
điều đó,條妬,that
đành phải,𢝜沛,I can't help it
đái tháo đường,帶操糖,diabetes mellitus
đầu máy,头𢵯,
Đến khi,𦤾崎,Until
đổi chiều,𢷮朝,Change direction
đứng sững,𨅸𨄉,Stand still
ở bên cạnh,於邊𧣲,Stay by your side
