vi,nom,explain
chuyện thường tình,𡀯常情,Common Affairs
chìm vào giấc ngủ,沈𠓨𥋏𥄬,falling asleep
chữ hiếu,𡨸孝,
con sông,崑瀧,
các bà,各婆,Ladies
có chuyện,固𡀯,something happened
cũng có thể,拱固体,also possible
cả đời,哿代,lifetime
diễn ra,演𠚢,happened.
dễ tính,易性,
giữ thể diện,𡨺體面,Keep face
gần đây,近低,Recent
há miệng,𠹛𠰘,Open your mouth
khuôn mẫu,𣟂母,Mold
không dựa vào,空澦𠓨,Not based on
không lâu sau,空𱍿𢖖,not long after
kỳ dị,奇異,Bizarre
làng văn hóa,廊文化,Cultural village
lầm tưởng,啉想,mistaken
mưu tính,謀算,intrigue
mất tiền,𠅒錢,
một kế hoạch,沒計劃,
người quen,𠊛慣,acquaintances
nhưng mà,扔𣻕,but
nặng cân,𥘀斤,Weighty
quốc gia láng giềng,國家㫰𦀚,Neighboring countries
sai lầm nghiêm trọng,差𡍚嚴重,fatal mistake
sau một thời gian,𢖖𠬠時間,after a while
tàu cá,艚𩵜,Fishing Vessels
tò mò,訴摹,curios
tôn quý,尊貴,noble
vài năm tới,吧𠄼𬧐,the next few years
về phía,𧗱𱘃,on the side
xem là,䀡𱺵,view as
ít ra,𠃣𤄷,at least
đi một vòng,呧𠬠𤥑,Go around
đái tháo,帶操,diabetes mellitus
độ vĩ bắc,度偉北,North Latitude
