vi,nom,explain
bán ra,𧸝𤄷,Sell
bắt chuyện với,扒𡀯貝,Talk to
bức tường,幅墻,wall
chỉ riêng,只𥢆,alone
cái gọi là,丐噲𱺵,the so-called
cũng được,拱得,is also okay
cởi quần áo,𢶒裙襖,Undress
hàng tháng,行𣎃,
hỏa thiêu,火燒,Cremation
khoản trợ cấp,款助給,subsidies
không hiểu,空曉,I don't understand
không xa lạ,空賒𨓐,no stranger
lên trời,𬨠𡗶,to the sky
lỗ vốn,氌本,capital loss
một thước,𠬠𡱩,one yard
nhẹ tay,珥𢬣,light-handed
những ngày,仍𣈜,Days
phân bộ,分部,Divisions
ra tù,𤄷囚,Released from prison
thoát khỏi,脫𠺌,escape
trong không gian,沖空間,in space
với giá,唄價,at a price
yêu tộc,妖族,Elves
đan dược,丹藥,Knitting
đó là lý do tại sao,妬𱺵理由在哰,That's why
