vi,nom,explain
bán đứng,𧸝𨅸,Selling
bị xử lý,被處理,Handled
bị đánh,被打,Beaten
bỏ xa,𠬃賒,Far away
chạy xe,𧼋車,Driving
chậm trễ,踸𬓐,Delay
con cháu,崑孫,descendants
cơn giận,𩂀𢚷,fury
dậy sớm,丕𣋽,To rise early
giai đoạn sớm,階段𣋽,Early Stage
gây tranh cãi,掑爭𠳚,Controversial
hãng thông tấn,行通訊,News agency
hợp lý,合理,Reasonable
khe hở,溪汻,Gap
không muốn đi làm,空㦖呧𫜵,don't want to go to work
khắp người,垃𠊛,All over the body
lấy từ,𥙩自,Retrieved from
mấy tháng,𠇍𣎃,months
ngắm cảnh,𥋴景,Sightseeing
nắm lấy,捻𥙩,Grab
nếu có,裊固,if have
phần còn lại,份𡀳徠,Rest
rất lâu,窒𱍿,for a long time
tan hoang,散荒,
thay đổi tên,𠊝𢷮𠸜,Name change
thuộc loại,屬類,Belong to the type
tiếng Anh,㗂英,English language
tung tóe,縱𤂭,Splatter
xót lòng,㤕挵,Heartbreak
đó là lý do,妬𱺵理由,That's why
đại lý,代理|大理,Agent|dali
đạt cực khoái,達極快,
đến lúc,𦤾𣅶,It's time
đồng lòng,同𢚸,unanimously
đứng đầu,𨅸頭,Top
ở phía,於𱘃,on the
