vi,nom,explain
bao nhiêu năm,包饒𠄼,how many years
buộc phải,𫃚沛,forced to
còn có,𡀳固,there is also
cười ha hả,唭哬嘑,laugh haha.
cấu kết,勾結,collusion
cặp vợ chồng,笈𱙡𫯳,
cực kỳ,極其,extremely
hàng nhập,行入,Imports
không có ai,空固哀,no one
loan tin,鸞信,spread the news
lưu tình,留情,留情
lớn hơn,𡘯欣,Larger
một tháng sau,𠬠𣎃𢖖,a month later
nhường lại,讓吏,Concede
những lời,仍唎,Words
nước tràn,渃𣼼,Overflowing water
phòng tắm,房浸,Bathroom
sống một mình,𤯩𠬠𨉟,
sức hút,飭唿,Attraction
thăng chức,升職,Promotion
thật kỹ,實忮,thoroughly
tin báo,𠒷𠸒,News
trong vòng,沖𤥑,within
tổng quản,總管,General Manager
xin hãy,吀唉,Please
đáng nói,當吶,Worth mentioning
đầy máu,𣹓𧖱,
