vi,nom,explain
có thể nói,固体吶,can speak
dáng điệu,𠍵調,
hình chữ thập,形𡨸十,Cross shaped
hơn một chút,欣𠬠𡭧,a little more
kho báu,𤇌寶,treasure
không ngớt,空𠯪,non-stop
làm tổn thương,𫜵損傷,hurt
Lê Chân,黎真,Le Chan
Lực lượng chức năng,力量職能,Cardinality
màu nâu,𦭷𣘽,Brown
mánh khóe,𬔽𥉯,Tricks
mét khối,衊塊,Cubic Meters
mất tinh thần,𠅒精神,lose spirit
Nghe nói là thế,𦖑吶𱺵世,I heard that
người dùng,𠊛用,Users
nàng ta,娘些,her
Phòng Cảnh sát,房警察,Police Department
tinh chế,精制,refined
tinh tấn,精进,diligence
xem xem,䀡䀡,View
đi thẳng vào,呧𣦎𠓨,Go straight in
đến sự,𨀏事,to the
