vi,nom,explain
Bộ Nội Vụ,部內務,Home Office
chuyện khó,傳𧁹,The Hard Story
chạy trốn,沚遁,escape
chất ma túy,質魔醉,Drug substance
cung cấp thông tin,供給通信,Provision of information
cái nhìn,丐𥆾,Look
có cơ hội,固機會,have a chance
cẩu huyết,狗血,
cổ tu,古修,ancient monks
dành cho,棦朱,For
dòng máy,𣳔𢵯,Machine Series
dọc đường,𨂔塘,along the way
dọn sạch,𰔫滌,cleared
em ruột,㛪𦛌,Biological brother
hòa chung,和中,Harmony
khi trước,崎𠓀,before
không rõ,空𤑟,unknown
không thay đổi,空𠊝𢷮,unchanged
lóe lên,𤑬𬨠,flash
mua đồ,𧷸徒,shop
màu trắng,𦭷𤽸,White
mọi người đều,𤗆𠊛調,Everyone
một hai,殳咍,one two
phân biệt đối xử,分別對處,Discrimination
qua mạng,戈𦁸,Via the Internet
san lấp,滻拉,Leveling
sống tốt,𤯩卒,Living well: an
tam hoa,三花,Flower Shower
Thu Thủy,秋水,
thứ sáu,次𦒹,Friday
thức hải,識海,shihai
tiên lượng,先量,Prognosis
tranh tài,爭才,Compete
trong số đó,沖數妬,Among them
trong trường hợp,沖場合,In the event that
tựa hồ,似乎,seem
vùng cấm,漨禁,Prohibited Zone
đi dạo,呧𨄹,take a walk
điên loạn,癲亂,Insanity
đoàn chủ nhà,團主茹,Host group
Đủ rồi,𨁥耒,Enough
