vi,nom,explain
ba bên,𠀧邊,Three Sides
bia đỡ đạn,碑扡彈,cannon fodder
bằng một tay,凭𠬠𢬣,with one hand
bị từ chối,被辭挃,rejected
bồn cầu xổm,盆求踮,squat toilet
bức họa,幅畫,
dây dài,絏𨱽,Long rope
dẫn đường,引塘,Navigation
dịch vụ trực tuyến,役務直線,Online Services
học được,學得,learned
khó nói,𠸋吶,hard to say
lan tỏa,爛碎,Spread
lúc ẩn lúc hiện,𣅶隱𣅶現,Sometimes hidden sometimes showing
lần đầu tiên trong lịch sử,吝頭先沖歷史,For the first time in history
ngay sau,𠵨𢖖,Immediately after
nhằm vào,𠁪𠓨,Aimed at
nước suối,渃𤂬,Spring water
pin mặt trời,pin𩈘𡗶,Solar Cells
ra khỏi phòng,𤄷𠺌房,Out of the room
rợn tóc gáy,囒𩯀𠰁,creepy
săn bắt,𤜬扒,Hunting
sở y tế,所醫濟,Department of Health
sự trùng hợp,事重合,polymerization
trong chúng ta,沖衆些,In us
tức tối,𠺒最,Envious
đều là,調𨓐,are all
địa chính trị,地政治,Geopolitics
