vi,nom,explain
bọc giấy,襆紙,Wrap paper
bộ phim,部film,Movies
bụng bia,䏾beer,Beer belly
cho thuê,朱𠾔,Rental
cơ quan tư pháp,機關司法,Judicial authorities
của riêng,𧵑𥢆,own
giảm tốc độ,減速度,Speed Reduction
giấy chứng nhận,紙證認,
gấp rút,𢵰捽,Rush
hốc mắt,嘝眜,Eye sockets
không thôi,空催,No
kêu ca,叫喀,complaint
kỳ duyên,奇緣,Qi Duyen
làm hư,𫜵虛,Damage
mỗi tuần,每旬,per week
mức này,𣞪尼,this level
ngoại tông,外宗,Pagan
nói ngọt,吶𤮾,Speak sweetly
nói với,吶貝,tell
Nội Bài,內排,Noi Bai
song song với,雙雙貝,in parallel with
tai họa,災禍,plague
thần nhân,神人,Divine Man
tiếng Việt,㗂越,
tử đàn,紫檀,
vừa xảy ra,𣃣侈𫥨,
ôn lại,溫吏,Review
đô vật,嘟物,Wrestler
đông độ,東土,
đăng cai,登街,
