vi,nom,explain
bị tổn hại,被損害,damaged
cao nhất,高一,best
chuyện hay,𡀯咍,good story
con đường đã chọn,𡥵塘㐌譔,The chosen path
cá nhân tôi,個人碎,I personally
cũng nên,拱𢧚,should also
giữ bí mật,𡨺秘密,Confidentiality
gần đây nhất,近低一,The most recent
không chỉ là,空只𱺵,not just
kích dục,擊欲,sexual arousal
kỳ ngộ,奇遇,Wonder
lui lại,𨆢吏,Retreat
luyện khí,練氣,練氣
lắm tiền,𡗋錢,lots of money
ngày làm việc,𣈜𫜵役,workday
ngón tay cái,𢭫𢬣丐,thumb
nhà Minh,茹明,Minh dynasty
những thời điểm,仍時點,Timings
Nửa tháng,姅倘,Half a month
oán than,怨嘆,Resentment
phản lực,反力,Reaction
tiến đến,進𦤾,Proceed to
trận đánh,陣打,Battle
tại sao không,在哰空,
đón tiếp,迍接,Welcome
đưa lên,迻𬨠,put up
đường ống dẫn,塘䈵引,Pipeline
đấm ngực,抌𦙏,Chest punch
ở bên ngoài,於邊外,
