vi,nom,explain
anh hùng hào kiệt,英雄豪傑,heroic
bát bảo,八寶,Eight Treasures
bất hảo,不好,Bad
bỏ trống,𠬃𤿰,vacant
có nhiều người,固𡗉𠊛,There are many people
cùng tuổi,共歲,Of the same age
giữ kín,貯𡫨,keep it secret
hí hửng,喜興,cheers
hất tung,迄嵩,Tossing
hộp đen,匣黰,Black Box
không nhận,空認,do not accept
không để ý,空底意,Don't notice
kinh đông,經東,Kinh Dong
kiểu mẫu,矯母,Pattern Type
kêu vang,叫㘇,Ring
kể trên,𠸥𨑗,mentioned above
lối đi,𡓃呧,Aisle
muôn phần,𨷈分,Extremely
máy tính để bàn,𣛠併抵𠴞,
mấy năm,𠇍𢆥,How many years
mịt mờ,𩆪𥊚,Blurry
mối đe dọa,媒砥𡃏,Threats
người phụ nữ,𠊛婦女,Woman
nhiều hơn,𡗉欣,more
nhìn thấu,𥆾透,Seeing Through
ném vào,揇𠓨,thrown in
nói sau,吶𢖖,Talk later
nằm dưới,㑲𨑜,Located under
quần lót,羣䘹,panties
run sợ,𧉙𢜝,Trembling
sự sợ hãi,事𢜝駭,
tan vỡ,散𥒮,Broken
thành thật mà nói,誠實𣻕吶,To be honest
thợ rèn,𠏲𠺅,
trong đó,沖妬,where
từ thời thượng cổ,自時上古,from ancient times
vang dội,㘇𣾶,Reverberating
việc quan trọng,役關重,Important Things
vô tình hay cố ý,無情咍故意,accidentally or intentionally
đáng để,噹抵,worth it
đã xong,㐌歱,done
đồng nai,同柰,Dong Nai
đủ số,覩數,Sufficient number
