vi,nom,explain
Bài liên quan,排連關,Related articles
bái kiến,拜見,Bai Jian
bị giết,被悊,
chuyến công du,轉公遊,Travel
chói tai,𤈜諰,shrill
chẳng bằng,拯憑,not equal to
có nhiều,固𡗉,There are many
cứ tiếp tục,據接續,Keep going
dìu dắt,𢭼𢴑,guidance
dẫn đến,引𦤾,resulting in
hoàn toàn không,完全空,Absolutely not
khá lâu,可𱍿,for quite a long time
khó coi,𠸋䁛,unsightly
không tuân thủ,空遵守,non-compliance
liên đoàn,聯團,
luôn là,㫻𨓐,always is
làm lại,𫜵吏,To redo
lần nữa,吝𡛤,again
miền núi,沔𡶀,Mountainous Region
món quà,𦁺𩛃,
mưa liên tục,𩄎連續,Continuous rain
nghịch lý,逆理,Paradox
ngon nhất,𤯆一,Best
người con gái,𠊛𡥵𡛔,Girl
người phụ trách,𠊛負責,Person in charge
nói xong,吶歱,Finished speaking
nằm viện,𦣰院,Hospitalized
Nếu là,裊羅,If it is
qua đường,過塘,cross the road
sự hy sinh,事犧生,Great Sacrifice
thích nhất,適一,Most Liked
tủ thuốc,𣗿𫇿,Medicine Cabinet
xé nát,扯捏,Tearing
ánh mặt trời,映𩈘𡗶,Sunlight
đưa cho,迻朱,give
