vi,nom,explain
ban giám đốc,班監督,Board of managers
bình lặng,平𣼽,Quiet and peaceful
bình thản,平坦,calm
bước lên,𨀈𬨠,Step Up
bấm độn,𢶸沌,Filler press
bằng cách nào,憑格𱜢,How?
bị ngập,備汲,flooded
chôn giấu,墫𢭳,Buried
chết người,𣩂𠊛,Deadly
con cáo,𡥵𤞺,fox
có nghĩa là,固義𱺵,Meaning
cảng cá,港𩵜,Fishing Port
cầm cờ,擒旗,Hold the flag
cầm trong tay,擒沖拪,Hand in hand
cứ điểm,據點,Stronghold
giải nghệ,解藝,Retirement
giọng nói,喠吶,voice
huyết hải thâm cừu,血海深仇,Blood Sea Deep Sheep
hàng chục,亙𨔿,Dozens of
hàng thật,行實,Genuine goods
không đổi,空𢷮,constant
kết nối hạ tầng,結綏下層,Infrastructure Connection
nơi góc,坭𧣳,In the corner
phá gia chi tử,破家支子,Break the family
sân bay quốc tế,𡑝𢒎國際,International Airports
thương đội,商隊,Merchant Team
Tiểu nhị,小二,Xiao Er
trước đó,𠓀妬,before
đi đường,𠫾塘,Road Trip
Đỉnh phong,頂峰,Top
đối tác tin cậy,對作信𢚁,Trusted Partner
đời đời kiếp kiếp,𠁀𠁀劫劫,
đủ sức,𨁥飭,To be able|enough strength
ở trong,於沖,in
