vi,nom,explain
bình thở,瓶咀,Breathing Bottle
có chút,固𡭧,have a little
gây ảnh hưởng,掑影響,cause influence
gặp rắc rối,﨤𢳯𦇒,To have problems
không biết chút gì,空別𡭧之,not know anything
lý do tại sao,理由在哰,
lũ quét,褸𢭯,flash flood
mau chóng,𨖧𫏢,Quickly
nghi ngút,霓𩂁,
người Anh,𠊛英,British
ngọn lửa,𦰟焒,Flame
nhiều việc,𡗉役,Many things
nhảy xuống,𬦮𬺗,Jump Down
năng lượng mặt trời,能量𩈘𡗶,Solar Energy
nằm trên,㑲𨑗,Located on the
nổ vang,砮㘇,Explosion
rời nơi làm việc,𨖨坭𫜵役,Leave the workplace
thư ký,書記,SECRETARY
trò chuyện với,𠻀𡀯貝,Chat with
trận chiến,陣戰,Battle
trở lại với,𠭤徠貝,Back to
Tán tu,散修,Cultivation
tốt nhất,𩫛一,best
vài bước,𠄧𨀈,
vấn đề gì,問題之,What's the Problem
xóa bỏ,扠𠬃,Delete
đưa về,迻𧗱,Bring back
Đại ca,大哥,Big brother
