vi,nom,explain
chơi diều,𨔈𠺧,Play kite
chịu ảnh hưởng,𠹾影響,Affected
cách đó,格妬,that way
cây kéo,𣘃捁,Scissors
có ý định,固意定,intend
công nghệ quốc phòng,工藝國防,Defense Technology
cưới vợ,𡠣𱙡,Get married
ham muốn,𫻎㦖,Desire
hạ thấp,下隰,lowering
khá rộng,可㢅,quite wide
không biết ở đâu,空別於兜,not know where
lớn tuổi hơn,𡘯歲欣,
mà là,𣻕𱺵,it's
mây đen,𩄲黰,Dark Cloud
mặt trời mọc,𩈘𡗶𦙣,Sunrise
một lúc sau,𠬠𣅶𢖖,A little later
mới tinh,㵋星,brand new
nghe như,𦖑如,To sound
ngày càng nhiều,𣈜𪨈𡗉,More and more
ngày nào cũng,𣈜𱜢拱,every day
nhờ vào,𱒥𠓨,
những thứ,仍次,Things
nạn nhân,難人,Victims
nền kinh tế,𡋂經濟,Economy
phần lớn là,份𡘯𱺵,Most of them are
roi da,檑䏧,
sáng tạo nội dung,創造內容,Content Creation
thứ bảy,次𠤩,Saturday
tiêu dao,消遙,To enjoy oneself
tấm biển,𥺑㴜,
từ trước,自𠓀,from before
vào giữa,𠓨𡧲,in the middle
về nhà,𧗱茹,Going home
vỗ kiếm,撫劍,flap the sword
đường tắt,塘𨄠,
