vi,nom,explain
bán yêu,半妖,semi-demon
bỏ trốn,𠬃遁,Escape
chỉ vào,指𠓨,point to
Chủ tịch Thượng viện,主席上院,President of the Senate
cuốn trôi,捲㵢,washed away
cấm bay,禁𢒎,No flying
dâng hoa,仩花,Offering flowers
dưới gầm trời này,𨑜㖗𡗶尼,Under this sky
em họ,㛪𣱆,Cousin
giả làm,假爫,pretend
hoa hạnh,花幸,
hóa giải,化解,Reconciliation
hoán dụ,換喻,metaphor
học cách,學格,learn how|learn the way or method
ký kết,記結,Signing
kể từ ngày,計自𣈜,from the date
làm đêm,𫜵𣎀,Working at night
mẹ đẻ,媄𤯰,Mother
ngay trong,𠵨沖,Right in
ngoại trú,外住,Outpatient
nhe răng,㖇𢳯,teeth
nhìn lại,閑來,Looking Back
nổi tiếng,浽㗂,Famous
pháp luật cạnh tranh,法律競爭,Competition Law
phải đi làm,沛呧𫜵,have to go to work
sự gắn bó,事𮇜抪,Attachment
thái hư,太虛,
thổi vào,𠺙𠓨,Blow In
tin tốt,信卒,The good news
tự nấu ăn,自𤍇咹,* Cook for yourself.
vài phút,𠄧丿,A few minutes
vắng bóng,咏琫,absent
vừa mắt,𣃣眜,pleasing to the eye
đáy biển,底㴜,Seabed
ở đây,於低,here
