vi,nom,explain
bắt phu,扒夫,
bệnh cơ tim,病肌心,cardiomyopathy
chuyện đó,𡀯妬,that
chôn vùi,墫掊,Buried
cài đặt,掑撻,To install
cái miệng,丐𠰘,
cười toe toét,唭䏴𠽌,
cả hai phía,哿𠄩𱘃,
hậu quả,后果,Consequences
không liều,空料,
không thể chịu nổi,空體𠹾浽,unbearable
Kẻ tiếp tay,仉接𢬣,Abettor
kỳ cựu,期舊,veterans
lật ngửa,慄𡂂,Flip over
lỗ chân lông,𥩍真𣯡,
mấp máy,𠸾𢵯,Stir
một đám,𠬠𡌽,a bunch
nghỉ làm,儗𫜵,Take a break from work
ngày này,𣈜尼,this date
nhớ lấy,𢖵𥙩,To memorize
Sư tỷ,師姊,Senior Sister
theo thói quen,蹺𢟔慣,Habitual
thỏa mãn,妥滿,Satisfying
trong việc,𤁘役,in the
trò trống,徒衆,Empty
trước thềm,𠓀㙴,Before the
trường kỳ,長期,Long-term
Tân Cương,新疆,Xinjiang
tổng lượng,總量,Total Amount
đa ngôn ngữ,多言語,Multi-language
đúng là thế,倲𱺵世,That's right
đơn hàng,單行,order|purchase order
