vi,nom,explain
bài kiểm tra,俳檢查,Tests
bị cháy,被𤈜,burned
cách này,格尼,this way
có rất nhiều,固窒𡗉,There are a lot of
Cũng có,拱固,Also available
cũng khá,供可,also quite
cửa ra vào,𨷯𤄷𠓨,
dược liệu,藥料,Medicinal herbs
làm cho,𫜵朱,make
làm được,爫得,possible
lòng tốt,挵卒,Kindness
lượng mưa,量𩄎,rainfall
lại thêm,吏添,More
lần trước,吝𠓀,Last time
mạch vành,脈鑅,coronary
một chỗ,𠬠𡊲,One place
ngôi làng,𡾵廊,Village
người trung gian,𠊛中間,Middleman
những hành vi,仍行爲,behaviors
nói rõ,吶𤑟,Speak clearly
Quả bóng vàng,果𡞗傍,Ballon d'Or
tình cảm,情感,Affection
tăng dần,增寅,Ascending
đe dọa,砥𡃏,Threats
Đà Nẵng,多㶞,Da Nang
đáng tin,當信,Trustworthy
đường cùng,塘窮,dead end
Đại thập tự,大十字,The Great Cross
