vi,nom,explain
biếng ăn,怲咹,Lazy
cao hơn,高欣,higher
chuyển hóa,轉化,Metabolism
có một,固𠬠,There is a
cười khanh khách,唭咯咯,laughed loudly
cấp trên,級𨑗,superiors
giá trị liên thành,價值連城,Intercity Values
Góc nhìn,𧣳𥆾,Perspective
hiện lên,現𬨠,show up
hàng ngàn,行𠦳,thousands
hạt châu,籺珠,Pearl
hợp với,合唄,Compatible with
nhìn thấy rất rõ,𥆾𧡊窒𤑟,see very clearly
nước mắt,渃眜,Tears
nước Pháp,渃法,France
san nền,刊𡋂,Soil Leveling
thông qua,通過,Through
trong quá khứ,沖過去,in the past.
tìm đến,尋𦤾,To find a place.
tình hữu nghị,情友誼,Friendship
tốn nhiều,損饒,costs a lot
tự chăm sóc,自占朔,Self-Care
vật gì,物之,What
xì gà,嚏鵸,Cigar
áp thấp nhiệt đới,押隰熱帶,Tropical Depression
đôi mắt,對眜,Eyes
đất đen,𡐙黰,Black Earth
