vi,nom,explain
ai biết,埃別,Who knows
bài ca dao,排歌謠,
Châu Đốc,朱篤,Chau Doc
con quái vật,崑怪物,Monster
cách nói,隔内,How to Speak
có lợi,固利,Beneficial
có nơi,固坭,There is a place
Công an,公安,Police
Giết người,悊𠊛,Murder
mong rằng,懞哴,
mặt sau,末後,Back
ngược dòng,逆𣳔,
nhận được,涊得,receive
phát triển mạnh mẽ,發展猛瑪,Thriving
thái quân,太君,Thai Quan
tháo thân,操身,
tâm lý,心理,psychology
từ bên ngoài,自邊外,from the outside
từ đầu đến chân,自頭𦤾蹎,
việc phải làm,役沛𫜵,Things to do
vô độ,無度,insatiable
vỡ nát,𥒮捏,shattered
đảo mắt,倒眜,Roll your eyes
đến lúc đó,𦤾𣅶妬,Until then
