vi,nom,explain
bình tĩnh lại,平靜吏,calm again
chỗ này,𡊲尼,
chờ sẵn,䟻𠻿,Waiting
còn đang,群噹,are still
cảng vụ,港務,Port Authority
cổng trường,𨶛場,School gate
hai người,𠄩𠊛,two people
không đáng sợ,空當𢜝,Not scary
làm đơn,𫜵單,Apply
lư hương,廬香,censer
lễ phép,禮法,Polite
Lễ tân,禮賓,Reception
mức cao,𣞪高,High Level
năm trước,𠄼𠓀,years ago
phủ xuống,俯𨑜,Cover down
rất quan trọng,窒關重,
rất tốt,慄𩫛,Very good
sụp xuống,𨀎𬺗,collapse
sự chia rẽ,事𢺹𥘶,Split
thanh toán tiền,清算錢,Payment
trời giáng,𡗶降,Heaven Falls
tất cả các,悉𪥘各,All of them
tự học,自學,self-study
tự xây dựng,自𡏦𥩯,self-built
vấp phải,𰸣沛,Stumbling
đi tìm,呧尋,Searching
điều mà,條𣻕,that
đám cháy,𡌽𤈜,Fire
để có,抵固,to have
để kết thúc,底結束,To end
