vi,nom,explain
biến thành,變成,Transformed into
chưa chắc,𣗓𢡠,Not sure.
chống bán phá giá,𥧪𧸝破價,Anti-dumping
cúi người,儈𠊛,Crouch
giao đấu,交鬥,Fighting
giọt máu,湥𧖱,Drops of blood
Hệ thống tản nhiệt,系統散熱,Cooling System
hỏi han,唉閒,Ask
không khỏi,空𠺌,I can't help but
không lâu sau khi,空𱍿𢖖崎,Soon after.
kiêng kỵ,𠼤忌,Abstinence
kiến thức,見識,knowledge
lần thứ hai,吝次𠄩,the second time
nuôi con,𩝺崑,Raising children
rửa mặt,𣳮𩈘,Face wash
soi sáng,𤐝𤏬,illuminated
tin mới nhất,信㵋一,Latest News
tiếng chuông,㗂鐘,bell
tiếng đàn,㗂彈,the sound of a guitar
trung chuyển,中轉,TRANSIT
Trung tâm Trợ giúp,中心助𢴇,Help Center
đã xảy ra,㐌侈𫥨,has occurred
ở nhà,於茹,at home
ở trường,於場,At school
