vi,nom,explain
bừng tỉnh,𤇊醒,awakened
chuyển sang,轉跄,Switch to
chuyện nhỏ,𡀯𡮈,trivia
chết đói,𣩂𩟡,
chị gái,姉𡛔,sister
có cơ,固機,Get chance
cạn lời,𣴓唎,speechless
dị tượng,異像,Anomaly
hai ngày,𠄩𣈜,
hợp tác kinh tế,合作經濟,Economic Cooperation
khóe mắt,𥉯眜,corners of the eyes
không dứt,空𠞹,Endless
không phận,空分,Airspace
không ổn,空穩,not okay
làm con tin,𫜵𡥵信,as a hostage
mang tên,忙𠸜,Bear the name
mũi nhọn,𪖫𨮐,point
một đóa hoa,沒朵花,a flower
mở to,𢲫𫰅,Enlarge
Nhưng sau đó,扔𢖖妬,But then
quá mức,過𣞪,excessive
ruồng bỏ,拥𠬃,abandonment
thái tử phi,太子妃,Crown princess
thích hợp với,適合貝,Suitable for
thử lại,㧗徠,retry
trong tay,沖拪,in hand
Trà Lý,茶理,Ly Tea
tại hiện trường,在現場,in the field
từ xa,自賒,From afar
vài chục,𠄧𨔿,a few dozen
vật lý,物理,Physics
đau lòng,𤴬挵,heartbreak
để ý đến,抵意𦤾,pay attention to
đổi vận,𢷮运,change the luck
độ nhạy,度𮛢,
