vi,nom,explain
bỏ sót,𠬃𨔊,omit
Bộ Thương mại,部商賣,Ministry of Commerce
chẳng may,拯𠶣,unfortunately
cuộc tấn công,局進功,Attack
câu đầu,鉤頭,first sentence
cấp bốn,級𦊚,level four
danh tính,名姓,Full name
dòng người,𣳔𠊛,Flow of people
dứt điểm,𠞹點,hit
gợi tình,㨳情,
hàng rào,亙梍,fence
hằng ngày,恆𣈜,Daily
khí tức,氣息,atmosphere
kiếm được tiền,劍得錢,Earn money
Long Thành,龍城,Long Thanh
làm rể,𫜵婿,Be a son-in-law
lãnh tụ,領袖,
lễ bế mạc,禮閉幕,
mấy câu,𠇍句,a few sentences
người đàn ông,𠊛僤翁,Man
nhường ấy,讓𧘇,
phung phí,瘋費,extravagant
qua thời gian,过𥱯間,over time
quai nón,𬗜𥶄,Hat Strap
sau này,𢖖尼,later
sức khỏe,飭劸,health
theo ý,蹺意,at your disposal
thông tin mua hàng,通信𧷸亙,Purchase Information
Thần đạo,神道,Shinto
tinh đồ,星圖,star map
toát mồ hôi lạnh,撮蒲洃冷,Sweating
Vũ Hán,武漢,Wuhan
