vi,nom,explain
ba nước,𠀧渃,Three countries
bất cứ lúc nào,不據𣅶𱜢,Anytime
bắt gặp,扒﨤,Encounter
chi tiêu cá nhân,支消個人,Personal Expenses
chiều nay,朝𫢩,this afternoon
chân ý,真意,sincere intention
chìa khóa,匙鎻,Key
chưa từng có,渚曾固,unprecedented
chương trình thưởng,章程賞,Rewards Program
cái bụng,丐俸,stomach
giống như,𥞖如,like
hai bên,𠄩邊,Both sides
Khuất Anh Cường,屈英強,Khuat Anh Cuong
khói lửa,𤌋焒,Fire smoke
lan sang,蘭瘡,Spread to
luật thương mại,律商賣,Commercial Law
mỗi người,每𠊛,each person
nghĩ rằng,擬哴,think
nguồn sáng,源𤏬,
ngón tay,𢭫𢬣,finger
người đó,𠊛妬,that person
nhị thúc,二叔,second uncle
nảy ra,䄧𤄷,bounce
sự nhất quán,事一貫,Consistency
sự trợ giúp,事助𢴇,Help
trong tuần,中旬,during the week
trộm xe,𥌈車,car theft
trời sinh,𡗶生,born
tốn kém,損歉,Expensive
xao động,敲動,agitation
