vi,nom,explain
biến số,變數,Variable
bị mai một,被埋沒,Lost
có tính,固性,
công an cửa khẩu,公安𨷯口,Border Gate Police
công ty nhỏ,公司𡮈,Small Company
cảm thấy khó chịu,感𧡊𠸋𠹾,Feeling annoyed
gió thu,𩙍秋,Autumn Wind
gần gũi với,近𨗥貝,
không biết,空別,don't know
kéo ra,捁𤄷,Pull-out
là vì,𱺵為,is because
lứa tuổi,侶歲,Age bracket
máy móc,𢵯𢪮,Machinery
mười năm,𱑕年,ten years
một đống,𠬠凍,A bunch
nghĩ tới,擬𬧐,Thinking about
năm nay,𠄼𫢩,this year
nước cờ,渃棋,chess move
sự vụng về,事𢜗𧗱,Clumsiness
thế hệ trẻ,世系𥘷,Young generation
thứ đó,次妬,that stuff
Trong số này,沖數尼,Among these
trên mặt,𨑗𩈘,on the face
uống cạn,㕵𣴓,Dry drinking
Vốn là,本蘿,Originally
áo gấm,鐭錦,
áp sát,壓剎,Close
đã đến lúc,㐌𦤾𣅶,It's time
để tránh,底𠬉,
