vi,nom,explain
Canh ba,更𠀧,Third Guard
chưa thể dùng,𣗓体用,cannot be used yet
chưa từng,渚曾,Never
con bài,崑排,Cards
cả thế giới,哿世界,The whole world
cảm thấy đau,感𧡊𤴬,feeling pain
cần dùng,慬用,Required
cứu mạng,救命,save lives
dương tử,扬子|陽子,Yangtze|Duong
giấy trắng,紙𤽸,White Paper
giữa hai người,𡧲𠄩𠊛,between the two
hơi khó,唏𠸋,a bit difficult
không thành vấn đề,空成問題,no problem
máy lạnh,𢵯冷,Air conditioner
mưa dông,𩄎𩄱,rainstorm|thunderstorm
một tiếng,𠬠㗂,one hour
mở cửa ra,𢲫𨷯𤄷,Open the door
Nhận tiền,認錢,Receive money
nể mặt,𢘝𩈘,Respect
theo thống kê,蹺統計,According to statistics
thế hệ mới,世系㵋,New Generation
trong lĩnh vực,沖領域,in the field
trên núi,𨑗𡶀,in the mountains|In the mountains like an
tổn thương,損傷,DAMAGE|Injuries
xuyên thẳng,川𣦎,Straight Through
ánh đèn,映畑,light
đi đến,呧𦤾,Go to
đánh vào,打𠓨,Hit on
Đông Nam Á,東南亞,Southeast Asia
ưa thích,於適,Preferences
