vi,nom,explain
bất cứ điều gì,不據條之,Anything
bị phạt,被罰,penalized
chặt chẽ,劕䊼,Tight
chứ không phải,渚空沛,not
có giá trị,固價値,Valuable
có thêm,固添,have more
cả người,哿𠊛,Whole Person
dù sao thì,怞哰蒔,Anyway
giảm xuống,減𬺗,Down
hôm thứ sáu,𣋚次𦒹,Friday
hơn nhiều,欣𡗉,much more
hụt hẫng,紇𠾿,Frustrated
mỗi lần,每吝,each time
một lời,𠬠唎,One Word
nhiều loại,𡗉類,Variety
nhờ vậy,𱒥丕,As a result
nhức đầu,𤴵头,headache
nói một câu,吶𠬠句,Say a sentence
nói tới,吶𬧐,mentioned
quan trọng nhất,關重一,most importantly
Quỷ Môn Quan,鬼門關,Demon Gate Guan
sinh lời,生利,Profitable
thỉnh kinh,請經,Prayer
thủy lôi,水雷,mines
trong kỳ,𥪝期,in the period
trong đầu,沖头,in my head
trận đấu,陣斗,Match
về việc,𧗱役,about the fact that
xong rồi,歱耒,it's done
xông vào,衝𠓨,Rush in
