vi,nom,explain
anh minh,英明,
biết rằng,咇哴,know that
bệnh ung thư,病癰疽,Cancer
chiếm đoạt tài sản,占奪財產,appropriation of property
cho đến khi,朱𦤾崎,until
chạy bộ,𧼋步,Running
công nghiệp quốc phòng,工業國防,Defense Industry
công nghệ y tế,工藝醫濟,Medical Technology
cường địch,强敵,Powerful enemies
cốc cà phê,谷 coffee,coffee cup
giá trị riêng,價值𥢆,Unique Values
giáng xuống,降𬺗,Down
giật giật,𪮞𪮞,jerky
không khó,空𠸋,not difficult
không người,空𠊛,No one
Kiếm pháp,劍法,Swordsmanship
lâu năm,樓𢆥,Long-term
lơ lửng,𢣻𤠸,Floating
lần đầu,吝頭,First time
mang tính cách,忙性格,Have personality
mấy ngày,𠇍𣈜,A few days
nam diễn viên,男演員,Actor
Ngày Văn hóa,𣈜文化,Culture Day
người thợ,𠊛𠏲,
nhiều lần,饒吝,multiple times
nhà tổ chức,茹組織,
nhàn rỗi,閒耒,Leisure
nhân hình,人形,anthropomorphic
quá lớn,過𢀲,too big
Sau đó,𢖖妬,Then
song chưởng,雙掌,double palm
thiên về,偏𡗅,Biased
thu nhập trung bình,收入中平,Average income
truyền tin,傳信,Communication
trước ngày,𠓀𣈜,before the date
trải qua,𣥱戈,experience
tảng đá,𣉕𥒥,The Rock
từ đây,自低,From here
từng được,曾得,have been
tự nhận,自認,Self-Identification
đè nặng,碮𥘀,To burden
được cứu,得救,be saved
đổi ý,𢷮意,change your mind
đủ thông minh,𨁥聰明,smart enough
đứa trẻ,𠀲𥘷,Child
ở chỗ,於𡊲,At the place
