vi,nom,explain
bay ngang,𢒎卬,Horizontal flying
bị lạc,被落,Lost
chữa cháy,𢵻𤈜,fire fighting
con sói,崑𤢿,wolf
cơ tim,肌心,Cardiomuscular
cả hai đều,哿𠄩調,Both
dãy núi,𡉏𡶀,Mountain chain
gì cả,之哿,Nothing
gọi rượu,噲𨢇,Order wine
hàng trăm ngàn,亙𤾓嵃,
hơn phân nửa,欣分姅,more than half
hướng đi,向呧,direction
không còn,空𡀳,no longer
không dễ,空易,not easy
lòng bàn tay,挵盤𢬣,Palm
múa gậy,𢷵梞,Stick Dance
mường tượng,𠉋象,Imagine
mặc cả,𦄿哿,
mục tiêu phát triển,目標發展,Development Goals
mức thông thường,𣞪通常,Normal Level
nam thanh niên,男青年,Young Man
ngày thường,𣈜常,
người bán,𠊛𧸝,seller
ngọn đuốc,𦰟燭,Burner
nhập cảnh,入境,Immigration
nêu bật,𪲍弼,Highlights
năm qua,𠄼過,Past Year
phát sáng,發創,Glow
phía sau,𱘃𢖖,Rear
phải đi,沛呧,must go
sai lầm lớn,差𡍚𡘯,Big mistake
say rượu,醝𨢇,drunk
sơn thủy,山水,
sự giàu có,事𢀭固,
tan chảy,散沚,Melt
trong vùng,沖漨,in the region
ven đường,邊塘,roadside
vài ngày,𠄧𣈜,few days
vào năm,𠓨𠄼,in
vì vậy,為丕,so
vùng cao,漨高,
vùng Vịnh,漨詠,Bay Area
xuống dưới,𬺗𨑜,to the bottom
điều quan trọng nhất,條關重一,The most important thing
đầm đìa,嘾𣾸,
