vi,nom,explain
bắn vào,𢏑𠓨,Shot on
bị bệnh,被病,To be ill
chậm nhất,踸一,slowest
chỗ hở,𡊲汻,
coi thường,䁛常,disregard
cánh cửa,梗𨷯,Door
cả hai người,哿𠄩𠊛,Both of you
Cục Dự trữ Liên bang Mỹ,局預貯聯邦美,US Federal Reserve
cực cao,極高,Very High
gọn nhẹ,袞珥,
khá tốt,可卒,pretty good
khía cạnh,㓶𧣲,create a premise
những người này,仍𠊛尼,These people
nơi cư trú,坭居住,Residence
nối lại,綏吏,To resume
phá hủy,破毀,Destruction
quan hệ hợp tác,關係合作,Partnerships
thiện ý,善意,Good Faith
Thượng Quan,上官,Shangguan
trên truyền hình,𨑗傳形,
trên đài,𨑗臺,On the radio
tình nguyện viên,情願員,Volunteer
tùy thuộc vào,隨屬𠓨,Depending on
vào nhau,𠓨僥,
vượt quá,越過,Exceed
đá đít,跢迭,Ass kick
