vi,nom,explain
bay xuống,𢒎𬺗,Fly Down
báo giá,報價,Quotation
chuyện quan trọng,𡀯關重,important thing
châu Mỹ,洲美,Americas
chính là,正𱺵,is
cá mập,亇𦚖,shark
cấn móp,艮漞,Dented
gần như không có,近如空固,almost none
hoàng thái tử,皇太子,
hồi đó,回妬,In the past
khô cạn,枯乾,dry
kể từ khi,計自唭,Since
máu đỏ,泖覩,blood red
mới xuất hiện,㵋出現,New Arrivals
ngay sau đó,𠵨𢖖妬,Shortly afterwards
ngoài ý muốn,外意㦖,Unintentionally
nguy hiểm vô cùng,危險無窮,Extremely dangerous
nhân dân tệ,人民幣,Yuan
nước nóng,著燶,Hot water
nắm đất,捻𡐙,Grab the land
nằm trong tay,㑲沖𢬣,lies in hand
nứt nẻ,㘿𦕗,Chapped
Pháp ngữ,法語,French
rèn luyện,𠺅練,training
sáng lên,𤏬𨑗,light up
thư giãn,舒簡,relax
trong thiên hạ,沖天下,in the world
trường kiếm,長劍,long Sword
tìm cơ hội,尋機會,find opportunities
tổng thời gian,總時間,Total Time|Total time
tựa như,𢭸如,Like
đóng đinh,㨂釘,Nailing
đạo hóa,道化,
đẫm máu,𧿒𧖱,Bloody
đến thế,𦥃势,That
ở nước ngoài,於渃外,Overseas
ứng tiếng,應㗂,respond to voice
