vi,nom,explain
bố mẹ,佈姆,Parents
bụng phệ,䏾筮,Pot-bellied
có sức,固飭,Powerful
công nợ,工𧴱,
công phá,攻破,Attack
công tác quan trọng,工作關重,Important work
giơ tay,捈𢬣,Raise Hand
hô lên,呼𬨠,Shout
im thin thít,唵𢗠𢗠,im thin
không hoàn toàn,空完全,Not Completely
không quên,空悁,Don't forget
lần thứ ba,吝次𠀧,
một cách riêng,𠬠格𥢆,independently
mở lớn,𢲫𡘯,Large Opening
nói cách khác,吶格恪,in other words
phòng ngừa chủ động,防禦主動,Proactive prevention
rách toạc,𧛊劐,Tearing
rất nhiều tiền,窒𡗉銭,a lot of many
rất thích,窒適,like it very much
sắt đá,鉄跢,Iron and stone
thì cũng,蒔拱,also
tiến vào,進𠓨,Enter
Tiếng Dân,㗂民,
trường mẫu giáo,長母教,Kindergarten
tùy chọn,随譔,optional
tăng mạnh,增猛,increased sharply
tạm giam,暫监,Detention
tầm soát,尋詧,Screening
tập thể lớn,集體𡘯,large collectives
đi ra ngoài,呧𤄷外,Go out
đông nam,東南,
đưa ra,迻𠚢,show
được phép,得法,Allowed
đội nón,戴𥶄,
