vi,nom,explain
bắt đầu bằng,扒頭憑,
bệnh lý,病理,Pathology
cho ăn,朱咹,Feeding
cháu bé,𡥙𡮣,Grandchildren
chưa biết,𣗓別,Unknown
con rắn,崑𧋻,Snake
có uy,固威,Authoritative
cộng hưởng,共響|共享,Resonance
hiền hòa,賢和,gentleness
hậu viện,后院,backyard
kinh sợ,驚𢜝,Terrified
kiến trúc,建築,Architecture
kiệt sức,竭飭,exhausted
lại dùng,來用,
một nhóm người,𠬠𡖡𠊛,a bunch of people
một việc,𠬠役,one thing
người bình thường,𠊛平常,Normal person
người chồng,𠊛𫯳,
nhường nào,讓𱜢,
nhận ra,涊𠚢,realize
nói nhiều,吶𡗉,talks a lot
pháp lý,法理,Legal
quay lưng,𢮿𠦻,turn away
râu quai nón,𩯁𬗜𥶄,Beard Strap
sẽ xảy ra,仕侈𫥨,will happen
thanh tĩnh,清浄,quiet
trong lúc,沖𣅶,while
trong trường hợp này,沖場合尼,in that situation.
tìm tòi,尋撮,Explore
tình thân,情親,Intimacy
tầm xa,尋賒,
tự hỏi,自𠳨,wonder
đi xa,呧賒,Going Far
đá vụn,跢僎,Crushed Stone
đánh chìm,打沉,sinking
đóng vai trò,㨂𦠘𠻀,
