vi,nom,explain
buông tay,捹𢬣,Let go
bí mật lớn,秘密𡘯,Big Secret
bản tóm tắt,本縿𨄠,
bắt quả tang,扒果贓,
bờ sông,坡瀧,Riverside
cho thấy,朱𧡊,Show
dòng nước,𣳔渃,Water Flow
dở khóc dở cười,𡁎哭𡁎唭,Half crying half laughing
giới khoa học,界科學,Scientific world
gửi cho,寄朱,Send to
Hồ chứa,湖貯,Reservoir
khinh thường,輕常,contempt
không dám,空噉,Don't dare
không vừa ý,空𣃣意,Not satisfied
lý lịch,履歷,background
nghe chưa,𦖑𣗓,
nhân vật chính,人物正,main character
qua nhiều thế hệ,戈𡗉世系,through generations
quen thuộc với,慣熟貝,Familiar with
theo phía,蹺𱘃,Follow the side
thập kỷ,十紀,Decade
tiếng ồn ào,㗂嗢泑,Loud noise
trong triều,沖朝,
vào mặt,𠓨𩈘,into the face
văn hóa bản địa,文化本地,Indigenous culture
điều hòa,調和,Air conditioner
đá quý,跢貴,Gemstones
đặt mục tiêu,撻目標,Set goals
đến mấy,𦤾𠇍,to how many
