vi,nom,explain
bền chặt,𥾽劕,Durable
chuyện thiên hạ,𡀯天下,World story
chờ một lát,䟻殳𣋛,Wait a minute
chở về,𨔾𧗱,Transportation back
câu này,句尼,this sentence
công thành,功城,Siege
cả gia đình,哿家庭,
du thuyền,遊船,cruise
gió vàng,𩙍傍,golden wind
gây chú ý,掑注意,Attention-grabbing
Hên xui,𢟑𠺼,luck
không có tác dụng gì,空固作用之,has no effect
không đồng ý,空同意,disagree
Kiếm Các,劍閣,
liên quan đến,連關𦤾,Related to
lão nhân,老人,PREMATURE
mua chuộc,𧷸贖,Bribery
phơi lưới,𤇨䋥,Drying the net
quan hệ giữa,關係𡧲,Relationship between
sao chép,炒劄,
theo lệnh,蹺令,By Command
thế hệ trước,世系𠓀,Previous generation
Tin nóng,信𤎏,Breaking news
tính khí nóng nảy,性氣𤎏䄧,Hot-tempered
tùy tiện,隨便,arbitrarily
tối hôm đó,最𣋚妬,that night
vụ nổ,務砮,
Ô Trấn,烏鎮,Wu Zhen
ăn mòn,咹𤷱,corrosion
điều ước quốc tế,條約國際,International treaties
đứng ngoài,𨅸外,standing outside
