vi,nom,explain
bay lên,𢒎𬨠,soars
bước vào trong,𨀈𠓨沖,Go inside
chiếm đa số,占多數,dominated by the majority
cho đến nay,朱𦤾𫢩,So far
chẳng bao lâu nữa,拯包𱍿𡛤,Soon
cách suy nghĩ,格推擬,How to think
có thế lực,固勢力,Influential
gặp phải,﨤沛,Encounter
khóc nức nở,哭𱕔𦬑,sobbing
Khởi động lại,起動吏,Restart
lưu ly,琉璃,
món hàng,𦁺行,Item
một bất ngờ,殳不㘈,
nhất thế giới,一世界,the best in the world
sét đánh,鎩打,Lightning strike
Test,test,
thiếp thân,妾身,
thảo dược,草藥,Herbs
thừa cân,剩斤,overweight
tinh thể,晶體,
tòa án nhân dân,座案人民,People's Courts
tạo hóa,造化,Creation
tất cả những,悉𪥘仍,all these
vào tháng,𠓨𣎃,In the month
xin mời,吀𫬱,Invite
xuất thân từ,出身自,Originally from
đã từ lâu,㐌自瞛,for a long time
đón con,迍崑,Pick up the child
