vi,nom,explain
bóng chuyền,琫傳,Volleyball
bỏ công sức,𠬃工飭,put in the effort
chạy về nhà,𧼋𧗱茹,running back home.
cũng may,拱𠶣,Fortunately
cảm thấy rằng,感𧡊哴,feel that
cộng đồng người Việt,共同𠊛越,Vietnamese community
hiện trường,現場,Scene
không khuyên,空𡅳,Don't recommend
kinh tế toàn cầu,經濟全球,Global Economy
là được,羅得,is okay
ngoài nước,𠰻渃,Abroad
nhưng lại,扔吏,but
nhỏ hơn,𡮈欣,
nói không,吶空,Say No
nói rộng hơn,吶㢅欣,Speak more broadly
nước này,渃尼,this country
phục vụ trong quân đội,服務沖軍隊,service in the military
rất lớn,窒𡘯,very large
rất ít khi,窒𠃣崎,very rarely
thiết bị,設備,Equipment
trong năm,𤁘𢆥,during the year
tóc xanh,𩯀青,
vì nhân dân phục vụ,為人民服務,For the people to serve
ý định từ chức,意定辭職,Intention to resign
đánh nhau,打僥,Fight
đặt lên,撻𬨠,put up
đứng thẳng,𨅸𣦎,
