vi,nom,explain
chưa rõ,𣗓𤑟,Not clear
còn sống,𡀳𤯩,alive
Cơ quan Công an,機關公安,Police Agency
góc phố,𧣳庯,Street corner
khí tượng thủy văn,氣象水文,Hydrometeorology
kỹ nghệ,技藝,techniques
mạ vàng,𨬈鐄,gilding
một ngày nào đó,𠬠𣈜𱜢妬,Someday
Nghe xong,𦖑歱,Finished listening
nhiều tiền,𡗉錢,The big money.
như cũ,如𦼨,same as before
quốc kỳ,國旗,
rất tiếc,窒惜,
suy nghĩ một lúc,推擬𠬠𣅶,Think for a while
sự hiểu lầm,事曉啉,Misconception
thu nhỏ,收𡮈,ZoomIn
triệu chứng,兆證,Symptoms
truy xét,追察,Investigation
tóm lấy,縿𥙩,Grab
tạo nên,造𢧚,create
vô song,无雙,Unparalleled
đáng ngờ,當㘈,Suspicious
đóng vai,㨂𦠘,To act
