vi,nom,explain
cam lòng,甘挵,
có tác dụng,固作用,work
cứu nạn,救難,Rescue
giải đấu,解斗,Tournaments
giở trò,捛𠻀,Playing the game
hình thoi,形梭,
hơi lạnh,唏冷,Slightly cold
không gặp,空﨤,did not meet
kỵ sĩ,騎士,Knight
lựa chọn ưu tiên,攄譔優先,Priority choice
ma công,魔工,magic
mức thuế,𣞪稅,Tax Rates
ngôi mộ,𡾵墓,
ngần ấy,垠𧘇,so much
nhẹ như lông hồng,珥如𣯡鴻,Light as a pink feather
nhớ tới,𢖵𬧐,Remember
nói bóng gió,吶𡞗𩙍,insinuating
quả trứng,果𱑛,egg
sà lan,蹉攔,Barges
thụ lý,受理,DISPOSITIONS
thứ phẩm,次品,Secondary
trung tâm thông tin,中心通信,Information Center
vách đá,壁𥒥,Cliffs
vô tri vô giác,無知無覺,
vấn đề nan giải,問題難解,Dilemma
xin vui lòng,吀𢝙𢚸,
ánh nắng,映𣌝,Sunshine
đi vào,呧𠓨,Enter
Đường đi,堂𠫾,Way
được chọn,得譔,Selected
