vi,nom,explain
Ba con,爸崑,father(child's)
bạn trai cũ,伴𤳆𫇰,ex-boyfriend
bốc cháy,卜𩶪,Ignition
chiếm phần lớn,占份𡘯,Accounting for the majority
chắp tay,𬗵𢬣,Hand in hand
còn là,𡀳𱺵,is also
Công ty,公司,Company
cũng không,拱空,neither
gia trì,加持,bless
giám đốc điều hành,監督調行,Managing Director
giảng hòa,講和,Peace
Hoa Kỳ,花旗,United States
hạ xuống,下𬺗,Down
không kịp,空及,not in time
không xa,空賒,not far away
không để,空底,Do not let
mang lại,忙吏,bring
một viên,殳圓,One Tablet
nghe thấy,𦖑𧡊,Hear
năm mươi năm,𠄼𱑕𢆥,fifty years
quá trình hoạt động,過程活動,Operation Process
sức mua,飭𧷸,
Thạch Hãn,石汗,
thế mạnh,世猛|勢猛,Strengths
vận may,运𠶣,Fortune
đúng lúc,中𣅶,At the right time
đẻ trứng,𤯰𱑛,Egg laying
địa cung,地宮,Underground
