vi,nom,explain
bị phản bội,被反背,Betrayed
cúi xuống,儈𬺗,bow down
cấp xã,級社,Commune level
di chứng,遺症,Sequelae
dọc theo,𨂔蹺,
em trai,㛪𤳆,younger brother
ghi lại,剘吏,Record
giọt nước,湥渃,Droplet|Drop of water
gây án,胲案,committing a crime
hầu cận,侯近,Servant
kỳ cục,奇局,Grotesque
loại hình,類型,Type of business
muốn cho,㦖朱,Want to give
món nào,𦁺𱜢,which dishes
một cách nhanh chóng,𠬠格𮞊𫏢,drastically.
một tuần,𠬠旬,one week
một điểm,𠬠點,One point
ngũ phẩm,五品,
người dẫn đầu,𠊛引頭,Leader
nhỏ hẹp,𡮈狹,Narrow
nói đến,吶𦥃,Talk about
thiếu hiệp,少俠,Young knight
thu chi,收支,Collect and spend
trước mặt,𠓀𩈘,in front of
trẻ hóa,𥘷化,Rejuvenate
trợn mắt,𥉲眜,
tuần trước,旬𠓀,last week
vật khác,物恪,Other things
đạo thống,道統,Religion
