vi,nom,explain
an toàn khu,安全區,Zone Safety
bình chọn,評譔,Vote
cao su,高蒭,
cho mình,朱𨉟,for myself
chạy theo,𧼋蹺,Running after
chẳng bao lâu,拯包𱍿,Soon
cũng giống như,拱𥞖如,just like
của nhau,𧵑僥,of each other
cứ nói,據吶,Just say
giá sản xuất,價產出,Production price
hôm đó,𣋚妬,that day
khoản tiền,款錢,Amount of money
không nói gì,空吶之,Say nothing
không phải là,空沛羅,is not
kiến trúc truyền thống,建築傳統,Traditional architecture
lập tức đồng ý,立即同意,immediately agreed
Lệnh Hồ,令狐,Command Ho
lời giải thích,𠳒解適,Explanation
Một trong,𠬠沖,One of the
mới nói,㵋吶,just said
nhấc bước,𢩮𨀈,take a step
sản xuất năng lượng,產出能量,Energy Production
số dư,數餘,balance
sự hợp tác,事合作,
thương mại quốc tế,商賣國際,International Trade
toát ra,撮𤄷,exude
trong bóng tối,沖𣈖𣋁,in the dark
trong những năm qua,沖仍𠄼戈,over the years
Trích Diệp Phi Hoa,摘葉飛花,Quoting Ye Fei Hua
Tân Hoa Xã,新華社,Xinhua News Agency
tích lũy,積累,accumulate
túi da,襊䏧,Leather bag
đáng lo ngại,當嚧懝,disturbing
đánh giá cuối năm,打價𡳳𠄼,Year-End Review
đóng góp cá nhân,㨂𢵰個人,Personal Contribution
Đúng thế,倲世,That's right
