vi,nom,explain
béo phì,脿肥,Obesity
chiến lực,戰力,Combat power
coi như,䁛如,Considered as
cây đa,𣘃多,banyan tree
có duyên,固緣,predestined
cầu thủ,球手,Players
dừng bước,仃𨀈,Step Stop
giảm thuế,減稅,tax reduction
hoại thư,坏疽,gangrene
kiếm lời,劍利,Earn Profit
kiếm tiền,斂錢,To make money
liệt dương,劣陽,Impotence
làm kinh doanh,𫜵经营,do business
làm quen với,𫜵慣貝,Getting Acquainted with
mưa bão,𩄎𩙕,stormy rain
ngồi lên,𱖗𬨠,
nhanh như chớp,穎如𩅀,
nào cả,𱜢哿,any
quan trọng là,關重𱺵,The important thing is
Thanh trọc,清濁,Bald bars
thay bằng,𠊝凭,Replace with
Tuyển nữ,選女,Female team
tôi không biết,碎空別,
với nhau,貝僥,together
xuyên suốt,川𣖠,Through
đánh thắng,打勝,Beat
đô la Mỹ,dollar美,US dollar
