vi,nom,explain
bị lừa,被驢,Being Scammed
bức vách,踾壁,wall
chia làm hai,𢺹𫜵𠄩,
cá chép,亇鮿,Common carp
có tướng,固相,
cần nói,懃吶,Need to Say
dẫn tới,引𬧐,leads to
giao nhau,交僥,Intersection
giữ nguyên,𡨺元,Remain unchanged
khô héo,枯𤉗,Withering
không còn là,空𡀳𱺵,is no longer
không hiểu sao,空曉炒,I don't know why
mui xe,腜車,hood
mới đến,㵋𦤾,New arrivals
nghe trộm,𦖑𥌈,Eavesdropping
nói ra,吶𠚢,speak out
nói về,吶𧗱,About
nộp tiền,納錢,Deposit
rất muốn,窒㦖,Highly Wanted
thiếu kinh nghiệm,少經驗,Inexperience
thoải mái,𢗷𠃅,Comfort
tin đồn,信屯,Rumors
tiên thành,仙城,
trung kỳ,中期,Mid-term
tuân theo,遵蹺,Obey
vẫn không,吻空,still not
đúng vậy,倲丕,That's right
được coi là,得䁛𱺵,Is considered as
