vi,nom,explain
bác sĩ chuyên khoa,博士專科,Specialist
bên hông,邊胷,Place on the side
chiếm ưu thế,占優勢,To prevail
con điếm,崑店,Whore
cấp tỉnh,級省,Provincial level
dài hơn,𨱽欣,longer
hiểu rồi,曉耒,got it
hiện ra,現𠚢,appear
hoa lệ,華麗,magnificent
hoàn toàn là thật,完全𱺵實,Totally Real
không cần,空懃,do not need
người mất tích,𠊛𠅒跡,Missing person
Ngọc Linh,玉靈,Ngoc Linh
nhà giao dịch,茹交易,Traders
nhớ rằng,𢖵哴,Remember that
nhờ có,洳固,thanks to
nói là,吶𱺵,said that
nói đùa,吶𢴉,joke
phát biểu ý kiến,發表意見,Expressing your opinion
quả táo,果棗,apples
Sau khi,𢖖欺,after
sự tồn tại,事存在,Existence
trong nước,沖渃,Domestic
trả góp,㨋𢵰,
tuyệt đối an toàn,絶對安全,Absolutely safe
tác vụ,作務,Tasks
từ lâu,自瞛,for a long time|For a long time
vô sinh,無生,infertility
đập vào,㧺𠓨,Hit on|Hit
