vi,nom,explain
ai cũng,埃共,Everyone
bám sát,稟殺,Stick to
bí mật,秘密,secrets
con chuột,崑𤝞,Mouse
có liên hệ,固聯係,Contact
dưới thời,𨑜時,Under the time
giao ngay,交𣦍,Spot
hiếu kỳ,好奇,Curiosity
hiểu rõ,曉𤑟,clearly understand
hiểu được,曉得,understand
hạ nhiệt,下熱,Cool down
hạng sang,項熗,Luxury
không ổn định,空穩定,
kết hợp với,結合貝,in combination with
lấy ý,𥙩意,Take the idea
Mật Tạng,密藏,Tantra
nhiều người,𡗉𠊛,Multiple people
nhà của,茹𧶮,House of
quy mô lớn,規模𡘯,Large scale
rất cao,窒高,very high
sa lưới,逤䋥,caught in the net
sắp chết,𢯛𣩂,dying
sự tò mò,事訴摹,
tiết lộ bí mật,泄露秘密,
trong dịp,冲蹀,On the occasion
trong lúc đó,沖𣅶妬,At that time
trong nhà,沖茹,Indoors
trình biên dịch,程編譯,Compiler
trông vào,矓𠓨,Look in
ửng đỏ,隱赭,blushing
