vi,nom,explain
chuyện lạ,𡀯𨓐,
chính ông ta,正翁些,
Có người nói,固𠊛吶,Someone said
có đức,固德,Virtuous
ghê người,𭌲𠊛,Disgusting
khác thường,恪常,Unusual
không biết phải làm gì,空別沛𫜵之,
không đủ,空𨁥,not enough
kinh hô,驚呼,Shout
luồng gió,嚨𩙍,airflow
là ai,羅埃,Who is
lý giải,理解,
lời cảnh cáo,唎警告,WARNING
mạnh nhất,猛一,Strongest
mở nắp,嗎蒳,Open the lid|Open the cover
nắm vững,捻凭,To master
nồng hậu,濃厚,Warm
phẳng lặng,塝𣼽,flat
sao mai,𣋀𣈕,
thận mạn,腎慢,Chronic kidney
tinh thạch,精石,
từ hai phía,自𠄩𱘃,from both sides
từ xưa đến nay,自𠸗𦤾𫢩,From the past to the present
âm lượng,音量,the volume.
đôi cánh,對埂,wings
đúng hướng,倲向,Right Direction
đều biết,調別,all know
đứa bé,𠀲𡮣,Baby
